TAMANHO_REGISTRO:136|LIVRE:-1
DELIM_CAMPO:|                                                                                                                           
name|episodes|votes|weight|rate|genres                                                                                                  
Ebiten|0|10|36|3.6|Comedy, Slice Of Life                                                                                                
Zombie Loan|0|10|35|3.5|Action, Romance, Supernatural, Thriller                                                                         
A Taste of Honey|0|10|33|3.3|                                                                                                           
Inuyasha|0|9|45|5.0|Action, Adventure, Fantasy, Romance                                                                                 
Samurai Pizza Cats|0|9|44|4.89|Action, Comedy, Historical, Sci-Fi, Shonen                                                               
Wild Mom|0|9|44|4.89|                                                                                                                   
Galileo|0|9|43|4.78|                                                                                                                    
Digimon Universe App Monsters|52|9|42|4.67|Action, Sci-Fi                                                                               
Always the Two of Us|0|9|40|4.44|                                                                                                       
Looking Up at the Half-Moon|0|9|40|4.44|Comedy, Drama, Romance                                                                          
Ordinary Miracles|0|9|39|4.33|                                                                                                          
Shonen Ashibe GO! GO! Goma-chan|120|9|39|4.33|Adventure, Comedy, Slice Of Life                                                          
Chrono Crusade|0|9|38|4.22|Action, Adventure, Drama, Fantasy, Romance, Supernatural                                                     
Shamanic Princess|0|9|33|3.67|Action, Drama, Fantasy, Magical Girls, Romance                                                            
Dimension High School|12|9|30|3.33|Adventure, Mystery                                                                                   
Million Arthur|0|9|27|3.0|Adventure, Fantasy                                                                                            
Ikemen Sengoku: Bromances Across Time|12|8|40|5.0|Comedy, Historical, Romance                                                           
Gakuen Alice|0|8|40|5.0|Comedy, Shojo                                                                                                   
Ghostwriter|0|8|40|5.0|                                                                                                                 
Martian Successor Nadesico|0|8|40|5.0|Comedy, Mecha, Sci-Fi                                                                             
PriPri Chi-chan!!|0|8|40|5.0|Comedy, Sci-Fi, Shojo                                                                                      
Ultraman Geed|26|8|39|4.88|Action, Fantasy, Mecha, Sci-Fi                                                                               
Angel Heart|0|8|39|4.88|Action                                                                                                          
Shin Atashinchi|26|8|39|4.88|Comedy, Slice Of Life                                                                                      
Power Office Girls 2013|0|8|37|4.62|                                                                                                    
You Taught Me All the Precious Things|0|8|36|4.5|                                                                                       
Kiitaro's yokai picture diary|12|8|34|4.25|Comedy, Fantasy, Supernatural                                                                
Working Buddies!|25|8|34|4.25|Comedy, Slice Of Life                                                                                     
You're Being Summoned, Azazel|0|8|34|4.25|Comedy, Fantasy, Supernatural                                                                 
KOWABON|13|8|34|4.25|                                                                                                                   
Mazinkaiser SKL|0|8|33|4.12|Action, Adventure, Mecha, Sci-Fi, Shonen                                                                    
Ai-Mai-Mi Mousou Catastrophe|12|8|31|3.88|Comedy, Slice Of Life                                                                         
The Nameko Families|13|8|30|3.75|Comedy, Slice Of Life                                                                                  
THE [email protected] CINDERELLA GIRLS Theater|92|8|30|3.75|Comedy, Idols, Music, Slice Of Life                                         
GTO Taiwan|0|8|30|3.75|Comedy                                                                                                           
TSUKIPRO THE ANIMATION|13|8|30|3.75|Idols, Music, Slice Of Life                                                                         
Twin Angels BREAK|12|8|29|3.62|Action, Drama, Magical Girls, Shonen, Supernatural                                                       
FINAL FANTASY XV: EPISODE ARDYN - PROLOGUE|1|8|28|3.5|Action, Adventure, Drama, Fantasy                                                 
Jubei-chan: The Ninja Girl|0|8|28|3.5|Action, Adventure, Comedy, Drama, Shonen                                                          
BAKUMATSU GIJINDEN ROMAN|12|8|27|3.38|Action, Drama, Romance, Sci-Fi                                                                    
Shiratori Reiko|0|8|27|3.38|                                                                                                            
DNA^2|0|8|27|3.38|Action, Comedy, Romance, Sci-Fi                                                                                       
Peacemaker|0|8|23|2.88|                                                                                                                 
Shining Tears X Wind|0|8|21|2.62|Action, Adventure, Fantasy                                                                             
Rainy Cocoa sideG|12|8|15|1.88|Comedy, Slice Of Life                                                                                    
Group Watch|0|7|35|5.0|                                                                                                                 
Desperate Motherhood|0|7|35|5.0|                                                                                                        
Hikakin Beatbox|0|7|35|5.0|                                                                                                             
Kimagure Orange Road|0|7|35|5.0|Action, Comedy, Drama, Romance, Supernatural                                                            
Zapuni|0|7|34|4.86|                                                                                                                     
Gakuen Heaven|0|7|34|4.86|Comedy, Drama, Harem, Romance, Slice Of Life                                                                  
Marmalade Boy|76|7|34|4.86|                                                                                                             
Tsukimonogatari|1|7|34|4.86|Action, Comedy, Drama, Fantasy, Harem, Supernatural                                                         
The Prince of Tennis II OVA vs Genius 10|10|7|33|4.71|Action, Drama, Shonen, Sports                                                     
Mobile Suit Gundam Wing - Endless Waltz|1|7|33|4.71|Action, Mecha, Sci-Fi                                                               
Honey and Clover|0|7|33|4.71|Comedy, Drama, Romance, Slice Of Life                                                                      
Anonymous Noise|0|7|33|4.71|Drama, Music, Romance                                                                                       
Big Windup! 2|0|7|33|4.71|Drama, Sports                                                                                                 
KAIJU GIRLS|24|7|32|4.57|Comedy, Fantasy, Sci-Fi                                                                                        
Brave Beats|22|7|31|4.43|Music, Sci-Fi                                                                                                  
Ghost Slayers Ayashi|0|7|31|4.43|Adventure, Drama, Historical, Supernatural                                                             
Karate Girl|0|7|31|4.43|Action, Martial Arts, Thriller                                                                                  
Nagasarete Airanto|0|7|30|4.29|Harem, Romance                                                                                           
Thermae Romae|0|7|30|4.29|Comedy, Historical, Isekai, Seinen, Slice Of Life                                                             
Ai-Mai-Mi Surgical Friends|12|7|27|3.86|Comedy, Slice Of Life                                                                           
Late night! The Genius Bakabon|12|7|27|3.86|Comedy, Slice Of Life                                                                       
Earl and Fairy|0|7|26|3.71|Adventure, Drama, Harem, Historical, Romance                                                                 
Cardfight!! Vanguard Legion Mate (Season 4)|0|7|26|3.71|Action                                                                          
Welcome to the JAPARI PARK|24|7|25|3.57|                                                                                                
Anime Recap|0|7|25|3.57|                                                                                                                
Idol Incidents|12|7|24|3.43|Idols, Music                                                                                                
HEROBANK|0|7|22|3.14|Action, Sci-Fi                                                                                                     
SD GUNDAM WORLD SANGOKU SOKETSUDEN|7|7|20|2.86|Action, Adventure, Mecha, Shonen                                                         
Pastel Memories|11|7|19|2.71|Comedy, Sci-Fi, Slice Of Life                                                                              
Million Doll|12|7|17|2.43|Idols, Music                                                                                                  
Nazotokine|12|7|11|1.57|Comedy, Drama, Isekai, Sci-Fi                                                                                   
Lupin the Third Part 2|0|6|30|5.0|Action, Adventure, Mystery, Seinen                                                                    
Emma: A Victorian Romance|0|6|28|4.67|Drama, Historical, Romance                                                                        
Ultraman Gaia|0|6|28|4.67|                                                                                                              
True Tears|0|6|28|4.67|Drama, Romance, Slice Of Life                                                                                    
Anisong Station|0|6|27|4.5|Idols, Music                                                                                                 
Nekomonogatari Black|4|6|26|4.33|Action, Comedy, Drama, Fantasy, Harem, Supernatural, Thriller                                          
Wacky TV Nanana|48|6|26|4.33|Comedy                                                                                                     
SENGOKUCHOJYUGIGA|26|6|25|4.17|Comedy, Fantasy, Historical, Slice Of Life, Supernatural                                                 
Lupin the Third Part 1|0|6|25|4.17|Action, Adventure, Mystery, Seinen                                                                   
Please Twins!|0|6|25|4.17|Comedy, Drama, Harem, Romance                                                                                 
gdgd men's party|0|6|24|4.0|Comedy                                                                                                      
Hana Yori Dango (Boys Over Flowers)|51|6|24|4.0|Romance, Shojo                                                                          
Usakame|12|6|23|3.83|Comedy, Slice Of Life, Sports                                                                                      
Music Girls|12|6|22|3.67|Idols, Music, Shojo, Slice Of Life                                                                             
Lost Universe|0|6|22|3.67|Adventure, Comedy, Drama, Sci-Fi, Shonen                                                                      
Fist of the North Star: The Movie|0|6|22|3.67|Action, Adventure, Post-Apocalyptic, Sci-Fi, Shonen                                       
Ultraman Nexus|0|6|21|3.5|                                                                                                              
Dallos|0|6|20|3.33|Drama, Sci-Fi                                                                                                        
El-Hazard: The Wanderers|0|6|19|3.17|Adventure, Comedy, Isekai                                                                          
Ah My Buddha!!|0|6|18|3.0|Comedy, Harem, Slice Of Life, Supernatural                                                                    
Street Fighter II: The Animated Series|0|6|17|2.83|Action                                                                               
Chargeman Ken|0|6|15|2.5|Action, Adventure, Sci-Fi                                                                                      
Rainy Cocoa|24|6|14|2.33|Comedy, Slice Of Life                                                                                          
Crane Game Girls|25|6|12|2.0|Comedy, Sci-Fi                                                                                             
Welcome, Chitose|0|5|25|5.0|                                                                                                            
Meow Meow Japanese History|96|5|25|5.0|Comedy, Historical                                                                               
Accel World|0|5|25|5.0|Sci-Fi                                                                                                           
The Last - Naruto the Movie|0|5|25|5.0|Romance, Shonen                                                                                  
Inukami!|0|5|24|4.8|Action, Comedy, Romance, Supernatural                                                                               
Street Fighter II The Animated Movie|0|5|24|4.8|Action                                                                                  
Gokudo|0|5|24|4.8|Adventure, Comedy, Fantasy                                                                                            
Sketchbook ~full color's~|0|5|24|4.8|Comedy, Shonen, Slice Of Life                                                                      
Girls Beyond the Wasteland|0|5|23|4.6|Romance, Slice Of Life                                                                            
Frame Arms Girl|12|5|23|4.6|Mecha, Sci-Fi, Slice Of Life                                                                                
Matoi the Sacred Slayer|12|5|23|4.6|Supernatural                                                                                        
Shingu: Secret of the Stellar Wars|0|5|23|4.6|Action, Sci-Fi                                                                            
THE [email protected] CINDERELLA GIRLS|25|5|22|4.4|Idols, Music, Slice Of Life                                                          
The Third: The Girl with the Blue Eye|0|5|22|4.4|Action, Drama, Fantasy, Post-Apocalyptic, Sci-Fi                                       
Undefeated Bahamut Chronicle|0|5|22|4.4|                                                                                                
Hagane Orchestra|12|5|22|4.4|Adventure, Comedy                                                                                          
Long Riders!|12|5|21|4.2|Comedy, Shonen, Slice Of Life, Sports                                                                          
Doctor's Affairs|0|5|21|4.2|                                                                                                            
Unriddle|0|5|20|4.0|Action, Sgdrama, Thriller                                                                                           
Strike Witches: 501st JOINT FIGHTER WING Take Off!|0|5|20|4.0|Comedy, Slice Of Life                                                     
High School Entrance Exam|0|5|20|4.0|                                                                                                   
The Golden Path|0|5|19|3.8|Family, Sgdrama                                                                                              
Miss Machiko|0|5|19|3.8|Comedy                                                                                                          
Lily C.A.T|0|5|18|3.6|Sci-Fi                                                                                                            
Key the Metal Idol|0|5|18|3.6|Drama, Idols, Mecha, Sci-Fi                                                                               
Time Bokan 24|48|5|18|3.6|Action, Comedy, Sci-Fi                                                                                        
The Journey Home|26|5|17|3.4|Adventure, Comedy, Sci-Fi                                                                                  
Ultraman Ginga|0|5|17|3.4|                                                                                                              
Fushigi Yugi: Eikoden|0|5|16|3.2|Adventure, Drama, Fantasy, Isekai, Romance, Shojo                                                      
NAMUAMIDABUTSU! -UTENA-|12|5|15|3.0|Adventure, Fantasy                                                                                  
Norn9|0|5|14|2.8|Action, Adventure, Historical, Sci-Fi                                                                                  
The World YAMIZUKAN|13|5|13|2.6|Mystery, Supernatural, Thriller                                                                         
Pilot Candidate|0|5|11|2.2|Action, Adventure, Mecha, Sci-Fi                                                                             
The Sprites of Floria|1|5|11|2.2|Adventure, Drama, Fantasy                                                                              
Onimusha: Dawn of Dreams|0|5|8|1.6|Action, Fantasy, Historical, Supernatural                                                            
LiSA TV|0|4|20|5.0|Music                                                                                                                
Fate/Grand Order -MOONLIGHT/LOSTROOM-|1|4|20|5.0|Fantasy                                                                                
Ghastly Prince Enma Burning Up|0|4|20|5.0|Action, Comedy, Supernatural                                                                  
Blue Seed|0|4|20|5.0|Action, Comedy, Romance, Sci-Fi, Supernatural                                                                      
Elemental Gelade|0|4|20|5.0|Adventure, Comedy, Fantasy, Romance                                                                         
Full Metal Panic! The Second Raid|0|4|20|5.0|Action, Drama, Mecha, Sci-Fi                                                               
CARDFIGHT!! VANGUARD|0|4|20|5.0|Action                                                                                                  
Super Gals!|0|4|20|5.0|Comedy, Shojo, Slice Of Life                                                                                     
Tamayura Hitotose|0|4|19|4.75|Comedy, Drama, Slice Of Life                                                                              
The Perfect Insider (Drama)|0|4|19|4.75|                                                                                                
Gokuaku Ganbo|0|4|19|4.75|                                                                                                              
Slam Dunk (Dub)|0|4|19|4.75|Action, Drama, Shonen, Sports                                                                               
Uchitama?! Have you seen my Tama?|6|4|19|4.75|                                                                                          
Unico In the Island of Magic|0|4|18|4.5|Comedy, Drama, Fantasy                                                                          
Sea Prince and the Fire Child|0|4|18|4.5|Drama, Fantasy, Romance, Supernatural                                                          
A Wind Named Amnesia|0|4|18|4.5|Adventure, Post-Apocalyptic, Sci-Fi                                                                     
The Legend of Black Heaven|0|4|17|4.25|Action, Adventure, Music, Sci-Fi                                                                 
Space Pirate Mito|0|4|17|4.25|Action, Adventure, Comedy, Sci-Fi                                                                         
W'z|13|4|17|4.25|Action, Adventure, Supernatural                                                                                        
The 101st Proposal|0|4|16|4.0|                                                                                                          
Ninja Nonsense|0|4|16|4.0|Action, Comedy, Slice Of Life                                                                                 
CLIF|0|4|15|3.75|Action, Sgdrama, Thriller                                                                                              
Onna Nobunaga|0|4|14|3.5|                                                                                                               
Phoenix|0|4|14|3.5|Fantasy                                                                                                              
Photon the Idiot Adventures|0|4|14|3.5|Action, Adventure, Comedy, Harem, Sci-Fi                                                         
100% Teacher Pascal|0|4|13|3.25|Comedy, Slice Of Life                                                                                   
Crunchyroll Collection|0|4|12|3.0|Comedy, Idols                                                                                         
Princess Knight|0|4|12|3.0|Action, Adventure, Drama, Romance, Shojo                                                                     
Koi Koi Seven|0|4|11|2.75|Comedy, Harem, Romance                                                                                        
EAT-MAN|0|4|11|2.75|Action, Adventure, Sci-Fi                                                                                           
Shinobi Girl|0|4|4|1.0|Action, Martial Arts                                                                                             
Mazinger Edition Z|0|3|15|5.0|Mecha, Sci-Fi                                                                                             
He Was Anime (NFL's Mike Daniels)|0|3|15|5.0|Sports                                                                                     
K|0|3|15|5.0|                                                                                                                           
Lupin the Third Part 3|0|3|14|4.67|Action, Adventure, Mystery, Seinen                                                                   
Forget Me Not|0|3|14|4.67|Romance                                                                                                       
Investor Z (Motion Manga)|0|3|14|4.67|Drama, Seinen                                                                                     
Toward the Terra|0|3|14|4.67|Drama, Post-Apocalyptic, Sci-Fi, Shonen, Supernatural                                                      
Hakata Mentai! Pirikarako-chan|12|3|14|4.67|                                                                                            
22/7 (nanabun no nijyuuni)|6|3|14|4.67|                                                                                                 
Giant Gorg|0|3|13|4.33|Action, Mecha, Sci-Fi                                                                                            
Cat's Eye|0|3|12|4.0|Action, Comedy, Mystery, Romance                                                                                   
Fushigi Yugi OVA|0|3|12|4.0|Adventure, Drama, Fantasy, Isekai, Romance, Shojo                                                           
Fantastic Adventures of Unico|0|3|12|4.0|Adventure, Fantasy                                                                             
Makeruna!! Aku no Gundan!|12|3|12|4.0|Comedy, Sci-Fi, Shonen                                                                            
ARP Backstage Pass|9|3|11|3.67|Idols, Music                                                                                             
The Galaxy Railways: A Letter from the Abandoned Planet|0|3|11|3.67|Adventure, Drama, Fantasy, Sci-Fi                                   
Cardcaptor Sakura: The Movie|0|3|11|3.67|Adventure, Comedy, Magical Girls, Shojo                                                        
Vampire Knight|0|3|11|3.67|Shojo, Supernatural                                                                                          
Accel World: Infinite Burst|0|3|10|3.33|Sci-Fi                                                                                          
Super Robot Wars: Original Generation|0|3|10|3.33|Action, Adventure, Mecha, Sci-Fi                                                      
Fantastic Detective Labyrinth|0|3|9|3.0|Action, Mystery, Supernatural                                                                   
Days of Urashimasakatasen|12|3|9|3.0|Comedy                                                                                             
Umi Monogatari|0|3|9|3.0|Comedy, Drama, Fantasy, Magical Girls                                                                          
Aachi & Ssipak|0|3|9|3.0|Action, Comedy, Sci-Fi                                                                                         
The Ultimatum|0|3|7|2.33|Family, Sgdrama                                                                                                
Onyankopon|12|3|5|1.67|                                                                                                                 
Space Adventure Cobra|0|2|10|5.0|                                                                                                       
SHONEN HOLLYWOOD -HOLLY STAGE FOR 49-|0|2|10|5.0|Idols                                                                                  
Black Jack The Movie|0|2|10|5.0|Adventure, Comedy, Drama, Thriller                                                                      
Battle Girl High School|12|2|10|5.0|Action, Sci-Fi                                                                                      
Tenchi Muyo! Ryo-Ohki|1|2|10|5.0|                                                                                                       
Magic of Stella|12|2|10|5.0|Comedy, Slice Of Life                                                                                       
Banpresto World Figure Colosseum|0|2|10|5.0|Sports                                                                                      
Beyblade: Metal Fusion|0|2|10|5.0|Action, Adventure, Sports                                                                             
Robot Carnival|0|2|10|5.0|Drama, Fantasy, Post-Apocalyptic, Sci-Fi                                                                      
Cardcaptor Sakura the Movie 2: The Sealed Card|0|2|10|5.0|Adventure, Comedy, Magical Girls, Shojo                                       
Night on the Galactic Railroad|0|2|9|4.5|Adventure, Drama, Fantasy, Mystery                                                             
The Diary of Ochibi (Motion Manga)|0|2|9|4.5|                                                                                           
Strait Jacket|1|2|9|4.5|                                                                                                                
Luck & Logic|0|2|9|4.5|Action, Fantasy, Sci-Fi                                                                                          
Happy Life|0|2|9|4.5|                                                                                                                   
The Wonderful Wizard of Oz|0|2|9|4.5|Adventure, Comedy, Fantasy                                                                         
Tofugu|0|2|9|4.5|                                                                                                                       
THE [email protected] Side M|14|2|9|4.5|Idols, Music, Slice Of Life                                                                     
Pita-Ten|0|2|8|4.0|Comedy, Fantasy, Romance, Slice Of Life, Supernatural                                                                
Iida Tokimeki Trip|0|2|8|4.0|                                                                                                           
Ringing Bell|0|2|8|4.0|Adventure, Drama, Fantasy                                                                                        
Kizuna AI 1st Live "hello, world"|0|2|8|4.0|                                                                                            
Dancouga: Super Beast Machine God|0|2|8|4.0|Action, Mecha, Sci-Fi                                                                       
Saint Seiya Hades (EN)|0|2|8|4.0|                                                                                                       
The Tenth Prism (Motion Manga)|0|2|8|4.0|Action, Adventure, Drama, Fantasy                                                              
The Glass Mask Year 3 Class D|13|2|8|4.0|Comedy, Slice Of Life                                                                          
Life in Additional Time|0|2|8|4.0|                                                                                                      
Action Heroine Cheer Fruits|0|2|7|3.5|Comedy, Seinen, Slice Of Life                                                                     
Ultra Maniac|0|2|7|3.5|Comedy, Magical Girls, Romance, Shojo                                                                            
Chiruran 1/2|12|2|7|3.5|Comedy, Slice Of Life                                                                                           
Japa Con Presents: Agent HaZAP|0|2|6|3.0|Music                                                                                          
ORECA BATTLE|0|2|6|3.0|Action, Fantasy, Shonen                                                                                          
PEACE MAKER KUROGANE|1|2|6|3.0|Action, Adventure, Historical, Shonen                                                                    
THE [email protected] SideM Wakeatte Mini!|12|2|6|3.0|Idols, Music, Slice Of Life                                                       
Female Convict Scorpion|0|2|6|3.0|Action, Martial Arts                                                                                  
Dai-Guard|0|2|5|2.5|Sci-Fi                                                                                                              
Gasaraki|0|2|5|2.5|Drama, Mecha, Sci-Fi, Supernatural                                                                                   
Soul Link|0|2|4|2.0|Sci-Fi                                                                                                              
Shinobi Girl: The Movie|0|2|4|2.0|                                                                                                      
DYNAMIC CHORD|12|2|2|1.0|Idols, Music                                                                                                   
SHOKU-KING (Motion Manga)|0|1|5|5.0|                                                                                                    
Sailor Moon R: The Movie|0|1|5|5.0|Shojo                                                                                                
Katana Maidens ~ Mini Toji|11|1|5|5.0|Action, Comedy                                                                                    
Naruto the Movie: Ninja Clash in the Land of Snow|0|1|5|5.0|Shonen                                                                      
Naruto the Movie: Legend of the Stone of Gelel|0|1|5|5.0|Shonen                                                                         
Jungle Emperor Leo|0|1|5|5.0|Adventure, Fantasy                                                                                         
Naruto the Movie: Guardians of the Crescent Moon Kingdom|0|1|5|5.0|Shonen                                                               
GoShogun|0|1|5|5.0|Action, Mecha, Sci-Fi                                                                                                
NG Knight Lamune & 40|0|1|5|5.0|Adventure, Comedy, Fantasy, Isekai, Romance                                                             
Road To Ninja -Naruto the Movie|0|1|5|5.0|Shonen                                                                                        
The Crunchyroll Anime Awards|0|1|5|5.0|                                                                                                 
Gakuen Basara: Samurai High School|0|1|5|5.0|Action, Comedy                                                                             
Kamen no Maid Guy|0|1|5|5.0|Action, Comedy                                                                                              
EAT-MAN '98|0|1|5|5.0|Action, Adventure, Sci-Fi                                                                                         
Knuspercast|0|1|5|5.0|                                                                                                                  
Magic User's Club|0|1|5|5.0|Comedy, Romance, Sci-Fi, Supernatural                                                                       
Steel Fisted Dragon|0|1|5|5.0|Action, Martial Arts                                                                                      
VS Knight Lamune & 40 Fire|0|1|5|5.0|Action, Comedy, Fantasy                                                                            
Naruto Shippuden the Movie: The Will of Fire|0|1|5|5.0|Shonen                                                                           
Divine Gate|0|1|4|4.0|Drama, Mystery, Romance                                                                                           
Wooser’s Hand-to-Mouth Life: Phantasmagoric Arc|13|1|4|4.0|Comedy, Slice Of Life                                                        
Soul Hunter|0|1|4|4.0|Action, Adventure, Fantasy, Sci-Fi, Shonen                                                                        
God Mars|0|1|3|3.0|Action, Adventure, Mecha, Sci-Fi                                                                                     
Arcana|0|1|3|3.0|                                                                                                                       
SNACK WORLD|0|1|2|2.0|                                                                                                                  
8 Man After|0|1|1|1.0|Action, Sci-Fi, Shonen                                                                                            
Zo Zo Zombie|0|1|1|1.0|                                                                                                                 
Cosmo Warrior Zero|0|1|1|1.0|Action, Adventure, Sci-Fi                                                                                  
Mischievous Kiss - The Movie|3|0|0|0.0|Romance                                                                                          
K Missing Kings|0|0|0|0.0|                                                                                                              
Naruto Shippuden the Movie: Blood Prison|0|0|0|0.0|Shonen                                                                               
The Adventures of the Little Prince|0|0|0|0.0|Action, Adventure, Drama, Fantasy                                                         
Inuyasha the Movie 3: Swords of an Honorable Ruler|0|0|0|0.0|Action, Adventure, Fantasy, Romance                                        
Swan Lake|0|0|0|0.0|Drama, Fantasy, Music, Romance, Shojo                                                                               
Psybuster|0|0|0|0.0|Adventure, Mecha, Mystery, Post-Apocalyptic, Sci-Fi, Shonen                                                         
Crunchyroll Convention Highlights|0|0|0|0.0|                                                                                            
Captain Harlock: Arcadia of my Youth - Endless Orbit SSX|0|0|0|0.0|Action, Adventure, Drama, Sci-Fi                                     
Inuyasha the Movie 2: The Castle Beyond the Looking Glass|0|0|0|0.0|Action, Adventure, Fantasy, Romance                                 
K: Seven Stories|0|0|0|0.0|                                                                                                             
The Dragon Lives|0|0|0|0.0|Action, Martial Arts                                                                                         
Inuyasha the Movie:  Affections Touching Across Time|0|0|0|0.0|Action, Adventure, Fantasy, Romance                                      
Naruto Shippuden the Movie: The Lost Tower|0|0|0|0.0|Shonen                                                                             
Inuyasha the Movie 4: Fire On the Mystic Island|0|0|0|0.0|Action, Adventure, Fantasy, Romance                                           
Space Warrior Baldios|0|0|0|0.0|Action, Adventure, Drama, Mecha, Post-Apocalyptic, Sci-Fi                                               
Captain Harlock: Arcadia of my Youth|0|0|0|0.0|Drama, Sci-Fi                                                                            
Osomatsu-kun|0|0|0|0.0|Comedy, Shonen, Slice Of Life                                                                                    
Magic User's Club OVA|0|0|0|0.0|Comedy, Romance, Sci-Fi, Supernatural                                                                   
Izumo: Flash of a Brave Sword|0|0|0|0.0|Action, Adventure                                                                               
